"eventID","occurrenceID","measurementValue","measurementType","measurementTypeID","measurementUnit","measurementUnitID"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Clausocalaus_spp:unkwn","4.12043298391266","Zooplankton taxonomy-related abundance per unit volume of the water column","http://vocab.nerc.ac.uk/collection/P02/current/ZATX/","Number per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UPMM/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Clausocalaus_spp:unkwn","200","Count (in assayed sample) of biological entity specified elsewhere","http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/","Count of Biological Entity","http://vocab.nerc.ac.uk/collection/P09/current/OCNT/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Copilia_mirabilis:unkwn","2.74695532260844","Zooplankton taxonomy-related abundance per unit volume of the water column","http://vocab.nerc.ac.uk/collection/P02/current/ZATX/","Number per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UPMM/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Copilia_mirabilis:unkwn","133.333333333333","Count (in assayed sample) of biological entity specified elsewhere","http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/","Count of Biological Entity","http://vocab.nerc.ac.uk/collection/P09/current/OCNT/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Corycaeus_spp:unkwn","13.7347766130422","Zooplankton taxonomy-related abundance per unit volume of the water column","http://vocab.nerc.ac.uk/collection/P02/current/ZATX/","Number per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UPMM/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Corycaeus_spp:unkwn","666.666666666667","Count (in assayed sample) of biological entity specified elsewhere","http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/","Count of Biological Entity","http://vocab.nerc.ac.uk/collection/P09/current/OCNT/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Echinoderm_larvae:larvae","1.37347766130422","Zooplankton taxonomy-related abundance per unit volume of the water column","http://vocab.nerc.ac.uk/collection/P02/current/ZATX/","Number per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UPMM/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Echinoderm_larvae:larvae","66.6666666666667","Count (in assayed sample) of biological entity specified elsewhere","http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/","Count of Biological Entity","http://vocab.nerc.ac.uk/collection/P09/current/OCNT/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Hyperiid_Amphipods:unkwn","1.37347766130422","Zooplankton taxonomy-related abundance per unit volume of the water column","http://vocab.nerc.ac.uk/collection/P02/current/ZATX/","Number per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UPMM/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Hyperiid_Amphipods:unkwn","66.6666666666667","Count (in assayed sample) of biological entity specified elsewhere","http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/","Count of Biological Entity","http://vocab.nerc.ac.uk/collection/P09/current/OCNT/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Jellyfish:unkwn","1.37347766130422","Zooplankton taxonomy-related abundance per unit volume of the water column","http://vocab.nerc.ac.uk/collection/P02/current/ZATX/","Number per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UPMM/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Jellyfish:unkwn","66.6666666666667","Count (in assayed sample) of biological entity specified elsewhere","http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/","Count of Biological Entity","http://vocab.nerc.ac.uk/collection/P09/current/OCNT/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Labidocera_spp:unkwn","1.37347766130422","Zooplankton taxonomy-related abundance per unit volume of the water column","http://vocab.nerc.ac.uk/collection/P02/current/ZATX/","Number per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UPMM/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Labidocera_spp:unkwn","66.6666666666667","Count (in assayed sample) of biological entity specified elsewhere","http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/","Count of Biological Entity","http://vocab.nerc.ac.uk/collection/P09/current/OCNT/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Larvaceans:unkwn","1.37347766130422","Zooplankton taxonomy-related abundance per unit volume of the water column","http://vocab.nerc.ac.uk/collection/P02/current/ZATX/","Number per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UPMM/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Larvaceans:unkwn","66.6666666666667","Count (in assayed sample) of biological entity specified elsewhere","http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/","Count of Biological Entity","http://vocab.nerc.ac.uk/collection/P09/current/OCNT/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Microsatellae_spp:unkwn","1.37347766130422","Zooplankton taxonomy-related abundance per unit volume of the water column","http://vocab.nerc.ac.uk/collection/P02/current/ZATX/","Number per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UPMM/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Microsatellae_spp:unkwn","66.6666666666667","Count (in assayed sample) of biological entity specified elsewhere","http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/","Count of Biological Entity","http://vocab.nerc.ac.uk/collection/P09/current/OCNT/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Oithona_spp:unkwn","1.37347766130422","Zooplankton taxonomy-related abundance per unit volume of the water column","http://vocab.nerc.ac.uk/collection/P02/current/ZATX/","Number per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UPMM/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Oithona_spp:unkwn","66.6666666666667","Count (in assayed sample) of biological entity specified elsewhere","http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/","Count of Biological Entity","http://vocab.nerc.ac.uk/collection/P09/current/OCNT/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Ostracods:unkwn","1.37347766130422","Zooplankton taxonomy-related abundance per unit volume of the water column","http://vocab.nerc.ac.uk/collection/P02/current/ZATX/","Number per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UPMM/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Ostracods:unkwn","66.6666666666667","Count (in assayed sample) of biological entity specified elsewhere","http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/","Count of Biological Entity","http://vocab.nerc.ac.uk/collection/P09/current/OCNT/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Paracalanus_spp:unkwn","2.74695532260844","Zooplankton taxonomy-related abundance per unit volume of the water column","http://vocab.nerc.ac.uk/collection/P02/current/ZATX/","Number per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UPMM/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Paracalanus_spp:unkwn","133.333333333333","Count (in assayed sample) of biological entity specified elsewhere","http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/","Count of Biological Entity","http://vocab.nerc.ac.uk/collection/P09/current/OCNT/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Pteropods:unkwn","8.24086596782533","Zooplankton taxonomy-related abundance per unit volume of the water column","http://vocab.nerc.ac.uk/collection/P02/current/ZATX/","Number per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UPMM/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Pteropods:unkwn","400","Count (in assayed sample) of biological entity specified elsewhere","http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/","Count of Biological Entity","http://vocab.nerc.ac.uk/collection/P09/current/OCNT/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Round_Fish_Eggs:egg","4.12043298391266","Zooplankton taxonomy-related abundance per unit volume of the water column","http://vocab.nerc.ac.uk/collection/P02/current/ZATX/","Number per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UPMM/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Round_Fish_Eggs:egg","200","Count (in assayed sample) of biological entity specified elsewhere","http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/","Count of Biological Entity","http://vocab.nerc.ac.uk/collection/P09/current/OCNT/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Salps:unkwn","6.86738830652111","Zooplankton taxonomy-related abundance per unit volume of the water column","http://vocab.nerc.ac.uk/collection/P02/current/ZATX/","Number per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UPMM/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Salps:unkwn","333.333333333333","Count (in assayed sample) of biological entity specified elsewhere","http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/","Count of Biological Entity","http://vocab.nerc.ac.uk/collection/P09/current/OCNT/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Siphonophore:unkwn","17.8552095969549","Zooplankton taxonomy-related abundance per unit volume of the water column","http://vocab.nerc.ac.uk/collection/P02/current/ZATX/","Number per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UPMM/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Siphonophore:unkwn","866.666666666667","Count (in assayed sample) of biological entity specified elsewhere","http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/","Count of Biological Entity","http://vocab.nerc.ac.uk/collection/P09/current/OCNT/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Stomatopod_Larvae:larvae","1.37347766130422","Zooplankton taxonomy-related abundance per unit volume of the water column","http://vocab.nerc.ac.uk/collection/P02/current/ZATX/","Number per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UPMM/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Stomatopod_Larvae:larvae","66.6666666666667","Count (in assayed sample) of biological entity specified elsewhere","http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/","Count of Biological Entity","http://vocab.nerc.ac.uk/collection/P09/current/OCNT/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Temora_sp:unkwn","1.37347766130422","Zooplankton taxonomy-related abundance per unit volume of the water column","http://vocab.nerc.ac.uk/collection/P02/current/ZATX/","Number per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UPMM/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Temora_sp:unkwn","66.6666666666667","Count (in assayed sample) of biological entity specified elsewhere","http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/","Count of Biological Entity","http://vocab.nerc.ac.uk/collection/P09/current/OCNT/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Undinula_vulgaris:unkwn","10.9878212904338","Zooplankton taxonomy-related abundance per unit volume of the water column","http://vocab.nerc.ac.uk/collection/P02/current/ZATX/","Number per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UPMM/"
"WS17275:stnLK:500um:2017-10-10","WS17275:stnLK:500um:2017-10-10:Undinula_vulgaris:unkwn","533.333333333333","Count (in assayed sample) of biological entity specified elsewhere","http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/","Count of Biological Entity","http://vocab.nerc.ac.uk/collection/P09/current/OCNT/"
"WS18008:stnMR:200um:2018-01-09",,"bongo nets","bongo nets","http://vocab.nerc.ac.uk/collection/L22/current/NETT0176/",,
"WS18008:stnMR:200um:2018-01-09",,"214.5955","Length of sampling track","http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/","metres","http://vocab.nerc.ac.uk/collection/P06/current/ULAA/"
